number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_learning_rate,params_weight_decay,params_width,state
0,0.9072604772149514,2026-08-29 09:08:14.713319,2026-08-29 09:10:25.968569,0 days 00:02:11.255250,256,4,0.2694619197355619,0.0026512259742974293,3.417952912061011e-05,16,COMPLETE
1,0.9211322416062189,2026-08-29 09:10:26.037946,2026-08-29 09:12:42.107593,0 days 00:02:16.069647,256,5,0.12841442327915478,0.001410690937355148,0.003020289640158668,8,COMPLETE
2,0.8800179317858289,2026-08-29 09:12:42.166602,2026-08-29 09:13:44.321339,0 days 00:01:02.154737,256,5,0.1473097703475733,0.0005899745093938507,4.556671913921479e-05,8,COMPLETE
3,0.9224084984793626,2026-08-29 09:13:44.379276,2026-08-29 09:15:47.166734,0 days 00:02:02.787458,64,4,0.10751592017454206,0.00247759517096838,0.0005336803302756717,16,COMPLETE
4,0.8504036601266974,2026-08-29 09:15:47.227610,2026-08-29 09:17:01.922284,0 days 00:01:14.694674,64,2,0.36670668617826707,0.0002923653641656045,2.849988343697162e-05,32,COMPLETE
5,0.8673322953328559,2026-08-29 09:17:01.983264,2026-08-29 09:17:37.587259,0 days 00:00:35.603995,128,2,0.1835507024379339,0.0004884246274247252,9.499535455183802e-06,32,PRUNED
6,0.8260383062482755,2026-08-29 09:17:37.668514,2026-08-29 09:18:41.131086,0 days 00:01:03.462572,128,2,0.1786329446720214,0.0017288058885750873,2.4232243900608937e-06,32,PRUNED
7,0.9185299900403299,2026-08-29 09:18:41.193784,2026-08-29 09:20:35.641814,0 days 00:01:54.448030,128,4,0.3957054317593207,0.0002738009685831704,2.984770033451217e-06,32,COMPLETE
8,0.9080994596518884,2026-08-29 09:20:35.713390,2026-08-29 09:21:53.382153,0 days 00:01:17.668763,128,4,0.3266405816826301,0.0007091576793635641,0.00521416524244723,16,COMPLETE
9,0.9062211236907068,2026-08-29 09:21:53.446212,2026-08-29 09:23:13.684605,0 days 00:01:20.238393,128,4,0.21576243717888044,0.001676659739518327,1.044195710380448e-06,16,COMPLETE
