number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_head_dim,params_head_dropout,params_learning_rate,params_weight_decay,params_width,state
0,0.9127207684892367,2026-08-28 13:31:01.701174,2026-08-28 13:33:43.310083,0 days 00:02:41.608909,128,4,0.2694619197355619,256,0.38909882815030883,0.0006903521707993515,0.005039489598671216,16,COMPLETE
1,0.9016117786349329,2026-08-28 13:33:43.391586,2026-08-28 13:36:02.154980,0 days 00:02:18.763394,64,5,0.41126270037994017,128,0.23844380867587958,0.00016283591083632567,0.006007249475906206,16,COMPLETE
2,0.8859228057289636,2026-08-28 13:36:02.229415,2026-08-28 13:37:06.634051,0 days 00:01:04.404636,128,5,0.2824601328866194,256,0.28362871681672647,0.00033965402163917304,5.59922365406335e-05,8,COMPLETE
3,0.8956605227841408,2026-08-28 13:37:06.694127,2026-08-28 13:39:03.110133,0 days 00:01:56.416006,128,4,0.18415302442953638,256,0.2710590311253639,0.00020348682523113558,4.418125737902548e-06,8,COMPLETE
4,0.871217675824995,2026-08-28 13:39:03.183452,2026-08-28 13:39:49.603315,0 days 00:00:46.419863,128,2,0.16358783345820788,128,0.15897470850401607,0.0017288058885750873,2.4232243900608937e-06,8,COMPLETE
5,0.8633912796957481,2026-08-28 13:39:49.673093,2026-08-28 13:40:53.511006,0 days 00:01:03.837913,256,4,0.3957054317593207,128,0.1888420592566435,0.00012438088147597646,0.0005886924655520675,32,PRUNED
6,0.8729222877079034,2026-08-28 13:40:53.576980,2026-08-28 13:41:56.241837,0 days 00:01:02.664857,64,2,0.33037859822247173,64,0.13953935872131767,0.0007351072773753935,1.2034559120184994e-06,8,PRUNED
7,0.8320576773197554,2026-08-28 13:41:56.305838,2026-08-28 13:42:27.724998,0 days 00:00:31.419160,256,3,0.394077608849038,64,0.2776125793815517,0.0004575709034916866,0.002430159002330091,8,PRUNED
8,0.85336176743224,2026-08-28 13:42:27.794440,2026-08-28 13:43:39.934162,0 days 00:01:12.139722,128,3,0.4524412788444646,128,0.3175762839458922,0.00042275164009130105,0.0002664237007197918,32,PRUNED
9,0.8667551541421985,2026-08-28 13:43:39.999230,2026-08-28 13:44:30.360815,0 days 00:00:50.361585,256,3,0.3472061715995366,64,0.2709894732103795,0.0009188309178426971,5.317086697454867e-05,32,PRUNED
