number,value,params_batch_size,params_depth,params_dropout,params_learning_rate,params_weight_decay,params_width,state,datetime_start,datetime_complete
0,0.868739180928045,64,3,0.35835764522666247,0.0006466422717414558,0.0007257005721594283,32,COMPLETE,2026-08-28 11:12:36.801534,2026-08-28 11:15:45.810806
1,0.8712305934610405,128,4,0.13485171988061628,0.0014773176334293555,0.000130490735503624,16,COMPLETE,2026-08-28 11:15:45.880586,2026-08-28 11:17:32.766716
2,0.8686544761961976,128,3,0.35596840853100953,0.002789574430295683,0.0015726578854179517,16,COMPLETE,2026-08-28 11:17:32.840748,2026-08-28 11:20:39.702091
3,0.8654362112696284,128,4,0.3470541988303508,0.0002459125638339736,0.001250071223083626,32,COMPLETE,2026-08-28 11:20:39.777260,2026-08-28 11:22:25.405759
4,0.874068709506076,64,3,0.36825514784726376,0.00033965402163917304,5.59922365406335e-05,32,COMPLETE,2026-08-28 11:22:25.479393,2026-08-28 11:25:34.932627
5,0.8367935242609248,64,2,0.1645238071539985,0.0006954241509602925,5.680754927416792e-05,8,PRUNED,2026-08-28 11:25:35.012064,2026-08-28 11:26:47.666073
6,0.8352730027799586,64,2,0.24749006826438566,0.00017171860465888458,2.7637615125314266e-06,32,PRUNED,2026-08-28 11:26:47.729741,2026-08-28 11:27:59.894946
7,,64,2,0.11567511690172827,0.002769166251652359,7.49212141135424e-05,32,FAIL,2026-08-28 11:27:59.958754,2026-08-28 11:30:02.566270
8,0.8756018225887995,64,2,0.11567511690172827,0.002769166251652359,7.49212141135424e-05,32,COMPLETE,2026-08-28 11:30:36.712129,2026-08-28 11:34:26.620377
9,,128,4,0.2061557963757782,0.000294916935807158,4.539959494059676e-05,32,RUNNING,2026-08-28 11:34:26.686304,
10,0.8530213514091394,128,4,0.2061557963757782,0.000294916935807158,4.539959494059676e-05,32,PRUNED,2026-08-28 11:51:13.039944,2026-08-28 11:52:35.302963
11,0.8550709383765038,128,2,0.17327654480284674,0.00029550509331092317,0.00046734921748237286,32,PRUNED,2026-08-28 11:52:35.576725,2026-08-28 11:53:46.609779
