number,value,params_batch_size,params_depth,params_dropout,params_head_dim,params_learning_rate,params_weight_decay,params_width,state,datetime_start,datetime_complete
0,0.8642317778297106,64,3,0.35835764522666247,64,0.0006466422717414558,0.0007257005721594283,32,COMPLETE,2026-08-28 12:45:48.055534,2026-08-28 12:48:19.378664
1,0.8625664553803607,256,3,0.41126270037994017,64,0.002329262676497441,1.92373050965465e-06,16,COMPLETE,2026-08-28 12:48:19.438778,2026-08-28 12:50:39.878900
2,0.8608056872362811,64,3,0.40969347577368664,256,0.00016283591083632567,0.006007249475906206,16,COMPLETE,2026-08-28 12:50:39.951485,2026-08-28 12:53:26.506560
3,0.8574574647008264,128,2,0.36670668617826707,128,0.0010165558775187275,2.7417736752420992e-05,8,COMPLETE,2026-08-28 12:53:26.567985,2026-08-28 12:56:07.481678
4,0.859077662748863,256,2,0.20131664101591284,64,0.0028836862312182276,2.559642090152666e-06,8,COMPLETE,2026-08-28 12:56:07.561493,2026-08-28 12:58:03.372721
5,0.8576386772587768,128,4,0.49058378600535835,128,0.00035047075708368174,0.0019229718174853703,16,COMPLETE,2026-08-28 12:58:03.433488,2026-08-28 12:59:53.131056
6,0.8495551003829531,128,2,0.376988847748008,128,0.0002738009685831704,2.984770033451217e-06,8,PRUNED,2026-08-28 12:59:53.193997,2026-08-28 13:01:00.408920
7,0.8618890372092639,64,4,0.3346051739240333,256,0.000967934696603767,3.3665994614803593e-06,16,COMPLETE,2026-08-28 13:01:00.487589,2026-08-28 13:03:52.934786
8,0.8600771514184206,64,2,0.481099604606794,256,0.00023304433779035454,0.00020166444601349762,16,COMPLETE,2026-08-28 13:03:53.016231,2026-08-28 13:08:20.986906
9,0.8544379571144833,128,2,0.4824334538892896,128,0.000722121897993786,0.0033646620317025026,8,PRUNED,2026-08-28 13:08:21.052837,2026-08-28 13:09:29.397477
