region,true_prevalence,method,estimated_prevalence,threshold,P,R,F1
Gaza:0.00-0.33@20240503,0.3091,frozen,0.6578,0.5481,0.8075,0.7417,0.7732
Gaza:0.00-0.33@20240503,0.3091,naive,0.4253,0.722,0.8687,0.6615,0.7511
Gaza:0.00-0.33@20240503,0.3091,EM,0.0953,0.9481,0.976,0.0372,0.0716
Gaza:0.00-0.33@20240503,0.3091,oracle (uses labels),0.3091,0.5092,0.7921,0.7561,0.7737
Gaza:0.00-0.33@20240706,0.4797,frozen,0.6578,0.5481,0.8331,0.7966,0.8145
Gaza:0.00-0.33@20240706,0.4797,naive,0.5233,0.6365,0.8567,0.7521,0.801
Gaza:0.00-0.33@20240706,0.4797,EM,0.2981,0.819,0.9186,0.5617,0.6971
Gaza:0.00-0.33@20240706,0.4797,oracle (uses labels),0.4797,0.4608,0.8051,0.8337,0.8191
Gaza:0.00-0.33@20240906,0.5221,frozen,0.6578,0.5481,0.8365,0.84,0.8382
Gaza:0.00-0.33@20240906,0.5221,naive,0.5707,0.5911,0.8493,0.8242,0.8365
Gaza:0.00-0.33@20240906,0.5221,EM,0.4342,0.7147,0.8889,0.747,0.8118
Gaza:0.00-0.33@20240906,0.5221,oracle (uses labels),0.5221,0.4978,0.8251,0.8546,0.8396
